ID,period,IWZ,Direction,1. number of days,2. number of events,3. number of daytime events,4. number of days when events happened,5. average duration of each event,6. median duration of each event,7. average queue length,8. average maximum queue length of each event,9. median maximum queue length of each event,10. max maximum queue length of each event,11.percentage of queue > 1 mile,12.amount of traffic that encounters a queue,13.total traffic per day,14.percentage of traffic that encounters a queue,15.percentage of time that encounters a queue,16.total delay,17.total delay per day,18.average delay per vehicle,19.maximum delay,20.total delay when queue is present,21.percentage of delay caused by queue,22.avg delay when queue is present,23.percent of vehicles experiencing delay > 5 min,24.percent of vehicles experiencing delay > 10 min,25.percent of vehicles in queue experiencing delay > 5 min,26.percent of vehicles in queue experiencing delay > 10 min
ID,2016-08-15 to 2016-08-21,Group 1 - 1.3 - I80,1,7,2,0,1,22.5,22.5,0.277778,0.5,0.5,0.5,0,735,26174.85714,0.004008,0.004464,465.779236,66.539891,0.152528,3.375889,20.796952,0.04465,1.699155,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 1 - 1.3 - I80,2,7,1,0,1,5,5,0.1,0.1,0.1,0.1,0,23,29489.57143,0.000111,0.000496,201.850985,28.835855,0.05867,3.252206,0.472047,0.002339,1.238156,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 1a,1,7,4,1,4,5,5,0.35,0.35,0.25,0.8,0,14,5158.142857,0.000381,0.001984,77.802657,11.114665,0.129289,0.994114,0.139985,0.001799,0.610846,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 1a,2,7,8,1,7,5,5,0.175,0.175,0.15,0.4,0,99,6165.857143,0.002276,0.003968,75.304605,10.757801,0.104685,0.928981,1.151665,0.015293,0.703307,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 1q,1,7,0,0,0,0,0,0,0,0,0,0,0,19866.42857,0,0,0.227032,0.032433,0.000098,0.039585,0,0,0,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 1q,2,7,0,0,0,0,0,0,0,0,0,0,0,20768,0,0,0.085185,0.012169,0.000035,0.022353,0,0,0,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 1r,1,7,2,1,2,5,5,0.2,0.2,0.2,0.3,0,237,13128,0.002574,0.000992,108.414224,15.487746,0.070785,0.548271,1.865639,0.017208,0.473312,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 1r,2,7,0,0,0,0,0,0,0,0,0,0,0,13176,0,0,30.330568,4.332938,0.019731,0.271024,0,0,0,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 5 - 4.1 - I29,1,7,8,1,4,5,5,0.2375,0.2375,0.2,0.5,0,203,18559.42857,0.001561,0.003968,1904.681218,272.097317,0.879656,2.5366,5.518084,0.002897,1.632709,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 5 - 4.1 - I29,2,7,21,7,5,6.904762,5,0.548276,0.580952,0.4,1.2,0.310345,1197,21251.42857,0.008042,0.014385,2960.806599,422.972371,1.194197,4.374627,62.666161,0.021165,3.14308,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 5 - 4.1 - I80,1,7,2,0,1,5,5,0.35,0.35,0.35,0.4,0,45,25477.57143,0.000252,0.000992,2029.898556,289.985508,0.682921,2.464593,1.485354,0.000732,1.986358,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 5 - 4.1 - I80,2,7,4,3,4,23.75,7.5,0.521053,0.675,0.7,1.2,0.105263,2907,28614,0.014511,0.009425,1900.480929,271.497276,0.569299,2.806807,72.894316,0.038356,1.504785,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 5b and 5.4,1,7,47,7,7,6.914894,5,0.609231,0.617021,0.5,2.7,0.169231,1412,13484.28571,0.014952,0.032242,1448.606713,206.943816,0.92083,4.222716,42.410341,0.029277,1.80299,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 5b and 5.4,2,7,13,3,6,6.153846,5,0.76875,0.8,0.7,1.6,0.1875,660,12778.42857,0.007377,0.007937,1245.930573,177.990082,0.835737,2.60018,18.323743,0.014707,1.666216,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 5d,1,7,3,0,3,5,5,0.766667,0.766667,0.5,1.5,0.333333,56,7074.714286,0.001127,0.001488,621.9759,88.8537,0.753563,2.909081,2.44289,0.003928,2.626763,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 5d,2,7,2,0,2,5,5,0.8,0.8,0.8,1.3,0.5,22,7232.285714,0.000435,0.000992,604.187349,86.312478,0.716071,2.714856,0.775936,0.001284,2.116189,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 5f,1,7,16,3,6,5.625,5,0.394444,0.40625,0.35,1.5,0.055556,240,7901.285714,0.004326,0.008929,766.781176,109.540168,0.831827,2.29267,5.929867,0.007733,1.487114,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 5f,2,7,138,82,7,6.231884,5,0.436047,0.415217,0.2,1.7,0.139535,3931,6481.571429,0.086641,0.085317,639.343727,91.334818,0.845488,5.932577,85.005357,0.132957,1.297462,0.000452,0,0,0
ID,2016-08-15 to 2016-08-21,Group 6 - 3.2 3a 3b - I29,1,7,198,143,7,8.409091,5,0.238138,0.240909,0.2,1.2,0.003003,18320,14042.85714,0.186365,0.165179,1554.491514,222.070216,0.948829,3.537635,374.647176,0.241009,1.227036,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 6 - 3.2 3a 3b - I29,2,7,113,36,7,17.654867,5,0.625063,0.442478,0.3,2.6,0.190476,10703,14229.71429,0.107449,0.197917,2951.368953,421.624136,1.777797,9.468643,563.506407,0.190931,3.159029,0.014379,0,0,0
ID,2016-08-15 to 2016-08-21,Group 6 - 3.2 3a 3b - US20,1,7,4,0,4,5,5,0.275,0.275,0.25,0.5,0,11,9160,0.000172,0.001984,106.690679,15.241526,0.099837,1.464555,0.13463,0.001262,0.734346,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 6 - 3.2 3a 3b - US20,2,7,14,0,5,8.928571,10,0.164,0.207143,0.1,0.7,0,69,8805.857143,0.001117,0.012401,130.040626,18.577232,0.126579,1.064434,0.66557,0.005118,0.580158,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 6a,1,7,0,0,0,0,0,0,0,0,0,0,0,19821.28571,0,0,38.2975,5.471071,0.016561,0.502884,0,0,0,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 6a,2,7,0,0,0,0,0,0,0,0,0,0,0,19783.42857,0,0,95.265082,13.609297,0.041275,0.905663,0,0,0,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 6c,1,7,1,1,1,5,5,0.1,0.1,0.1,0.1,0,120,15326.71429,0.001115,0.000496,288.985117,41.283588,0.161615,1.009112,0.849199,0.002939,0.42602,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 6c,2,7,0,0,0,0,0,0,0,0,0,0,0,14680.85714,0,0,248.593075,35.513296,0.145142,0.795263,0,0,0,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 6d,1,7,26,23,7,19.230769,10,1.135,0.946154,0.65,2.6,0.64,10587,17201.42857,0.087918,0.049603,951.830344,135.975763,0.474296,7.644226,404.674716,0.425154,2.29361,0.002185,0,0,0
ID,2016-08-15 to 2016-08-21,Group 6d,2,7,15,13,6,36.333333,5,1.249541,0.906667,0.7,2.3,0.431193,11363,18742.42857,0.086603,0.054067,1075.239723,153.605675,0.491738,5.517572,402.14947,0.374009,2.123655,0.002094,0,0,0
ID,2016-08-15 to 2016-08-21,Group 6e,1,7,5,3,3,9,5,0.822222,1.08,0.7,2.2,0.222222,998,18259.57143,0.007801,0.004464,30.197531,4.313933,0.014175,1.983604,17.162432,0.568339,1.032696,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 6e,2,7,1,1,1,60,60,1.8,2.9,2.9,2.9,1,1261,19858.57143,0.009068,0.005952,100.252181,14.32174,0.043271,9.520981,88.763129,0.885398,4.2249,0.002944,0,0,0
ID,2016-08-15 to 2016-08-21,Group 6gh,1,7,1,1,1,90,90,0.45,0.5,0.5,0.5,0,2115,31089,0.009716,0.008929,758.118326,108.302618,0.209018,1.664316,40.201756,0.053028,1.140812,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 6gh,2,7,0,0,0,0,0,0,0,0,0,0,0,30482.57143,0,0,771.057562,110.15108,0.216815,0.488304,0,0,0,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 8 - 6.2 - I74,1,7,69,19,7,81.884058,10,1.042478,0.437681,0.2,2,0.620354,105288,19100.42857,0.78748,0.560516,4095.165778,585.023683,1.837739,3.812556,3733.021181,0.911568,2.127321,0,0,0,0
ID,2016-08-15 to 2016-08-21,Group 8 - 6.2 - I74,2,7,182,126,7,44.725275,20,0.16769,0.247802,0.2,1.3,0.002457,105663,19039.28571,0.792817,0.80754,1814.204835,259.172119,0.816753,3.530378,1500.805634,0.827253,0.852228,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 1 - 1.3 - I80,1,7,3,0,1,6.666667,5,0.575,0.433333,0.1,1.1,0.25,113,21382.42857,0.000749,0.001984,454.892762,64.98468,0.18235,4.950289,5.936379,0.01305,3.176658,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 1 - 1.3 - I80,2,7,36,0,5,8.472222,5,0.4,0.394444,0.35,1.5,0.016393,2107,24193.14286,0.012439,0.030258,312.027843,44.575406,0.110549,2.520804,49.063232,0.15724,1.397481,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 1a,1,7,4,0,3,5,5,0.2,0.2,0.15,0.4,0,6,4277.857143,0.000175,0.001984,64.349822,9.192832,0.128939,0.869291,0.042604,0.000662,0.4869,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 1a,2,7,7,0,6,5.714286,5,0.375,0.328571,0.3,0.8,0,75,4865.857143,0.002195,0.003968,51.918046,7.416864,0.091457,1.146608,1.277114,0.024599,1.025108,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 1q,1,7,0,0,0,0,0,0,0,0,0,0,0,16023.42857,0,0,0.036082,0.005155,0.000019,0.021482,0,0,0,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 1q,2,7,0,0,0,0,0,0,0,0,0,0,0,16144.14286,0,0,0.022539,0.00322,0.000012,0.013085,0,0,0,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 1r,1,7,1,1,1,5,5,0.2,0.2,0.2,0.2,0,194,12129,0.002279,0.000496,97.372312,13.91033,0.068812,0.368681,1.188997,0.012211,0.368681,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 1r,2,7,0,0,0,0,0,0,0,0,0,0,0,12459.85714,0,0,29.941241,4.27732,0.020597,0.293059,0,0,0,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 5 - 4.1 - I29,1,7,4,0,2,15,7.5,2.275,1.45,0.25,5.2,0.583333,219,17177.71429,0.001817,0.005952,1715.689594,245.098513,0.856105,8.193982,19.490106,0.01136,5.351442,0.001253,0,0,0
ID,2016-08-22 to 2016-08-28,Group 5 - 4.1 - I29,2,7,16,1,7,8.4375,5,0.492593,0.475,0.2,1.9,0.148148,603,19842,0.004337,0.013393,2523.381025,360.483004,1.090063,5.831655,30.908293,0.012249,3.078954,0.00029,0,0,0
ID,2016-08-22 to 2016-08-28,Group 5 - 4.1 - I80,1,7,5,1,3,9,5,0.511111,0.4,0.2,1.2,0.111111,340,23131.28571,0.0021,0.004464,1928.358221,275.479746,0.714566,4.550053,13.759137,0.007135,2.428083,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 5 - 4.1 - I80,2,7,5,1,4,10,5,0.92,1,0.6,3.2,0.3,442,26139.57143,0.002413,0.00496,1777.432447,253.918921,0.582841,5.198291,18.736953,0.010542,2.546358,0.000127,0,0,0
ID,2016-08-22 to 2016-08-28,Group 5b and 5.4,1,7,61,12,7,7.622951,5,0.655914,0.734426,0.7,2.1,0.172043,2503,11554,0.030936,0.046131,1281.768536,183.109791,0.950892,7.802043,78.071446,0.060909,1.872217,0.000171,0,0,0
ID,2016-08-22 to 2016-08-28,Group 5b and 5.4,2,7,15,5,5,7.666667,5,0.817391,0.88,0.8,2.7,0.304348,1076,10891.28571,0.014103,0.011409,1076.668197,153.809742,0.847337,8.201909,34.556427,0.032096,1.928432,0.000094,0,0,0
ID,2016-08-22 to 2016-08-28,Group 5d,1,7,3,1,3,6.666667,5,1.075,1,0.8,1.5,0.5,74,5763,0.00182,0.001984,527.896861,75.413837,0.78516,3.958272,3.401552,0.006444,2.78056,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 5d,2,7,1,0,1,5,5,2.6,2.6,2.6,2.6,1,3,5782.571429,0.000054,0.000496,522.378733,74.625533,0.77433,4.517045,0.165625,0.000317,4.517045,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 5f,1,7,12,1,7,5.833333,5,0.435714,0.483333,0.35,1.7,0.071429,221,7031.142857,0.004485,0.006944,672.957156,96.136737,0.820392,4.161514,8.182595,0.012159,2.224035,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 5f,2,7,148,69,7,6.013514,5,0.205056,0.219595,0.2,0.8,0,3873,6297,0.087866,0.088294,582.375819,83.196546,0.792739,1.729499,62.756956,0.10776,0.972222,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 6 - 3.2 3a 3b - I29,1,7,129,72,7,11.085271,5,0.284965,0.293023,0.2,3.4,0.024476,12179,20344.14286,0.085515,0.141865,2126.584614,303.797802,0.89598,8.193003,288.538784,0.135682,1.421594,0.002437,0,0,0
ID,2016-08-22 to 2016-08-28,Group 6 - 3.2 3a 3b - I29,2,7,118,37,7,16.610169,5,0.460459,0.340678,0.2,3.2,0.068878,8995,19683.28571,0.065278,0.194444,3710.875766,530.125109,1.615965,5.97329,334.438927,0.090124,2.231025,0.001152,0,0,0
ID,2016-08-22 to 2016-08-28,Group 6 - 3.2 3a 3b - US20,1,7,1,0,1,5,5,0.1,0.1,0.1,0.1,0,3,10013,0.000036,0.000496,104.178175,14.882596,0.08918,1.120935,0.018419,0.000177,0.442051,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 6 - 3.2 3a 3b - US20,2,7,20,1,6,7.25,5,0.193103,0.215,0.1,1.3,0.034483,148,9374.714286,0.002253,0.014385,107.065926,15.295132,0.097893,1.298253,2.109182,0.0197,0.856038,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 6a,1,7,3,0,1,5,5,0.633333,0.633333,0.4,1.4,0.333333,76,15770.42857,0.000682,0.001488,64.851713,9.26453,0.035248,2.535684,2.217556,0.034194,1.768151,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 6a,2,7,3,1,1,5,5,0.166667,0.166667,0.1,0.3,0,173,15718.42857,0.001572,0.001488,154.970738,22.138677,0.084508,1.372347,3.316072,0.021398,1.150083,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 6c,1,7,0,0,0,0,0,0,0,0,0,0,0,12895.71429,0,0,287.907293,41.129613,0.191366,1.277956,0,0,0,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 6c,2,7,0,0,0,0,0,0,0,0,0,0,0,13315,0,0,235.034681,33.576383,0.151303,1.03014,0,0,0,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 6d,1,7,15,7,4,8,5,0.795833,0.773333,0.8,1.7,0.5,1293,14252.85714,0.012954,0.011905,500.336374,71.476625,0.300895,5.410745,39.959775,0.079866,1.855102,0.000132,0,0,0
ID,2016-08-22 to 2016-08-28,Group 6d,2,7,6,4,4,10.833333,5,0.553846,0.483333,0.4,0.9,0,1207,15520.42857,0.011103,0.006448,646.929465,92.418495,0.35728,2.183355,22.568772,0.034886,1.122559,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 6e,1,7,2,0,2,5,5,0.5,0.5,0.5,0.8,0,30,17371.14286,0.000243,0.000992,8.220374,1.174339,0.004056,2.076598,0.43577,0.053011,0.884171,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 6e,2,7,2,0,2,32.5,32.5,0.976923,1.2,1.2,2,0.615385,99,18674,0.000757,0.006448,18.444603,2.634943,0.008466,3.289646,3.341368,0.181157,2.025071,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 6gh,1,7,0,0,0,0,0,0,0,0,0,0,0,30390.14286,0,0,703.517037,100.502434,0.198425,0.669493,0,0,0,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 6gh,2,7,3,0,2,5,5,0.233333,0.233333,0.3,0.3,0,60,29667.42857,0.000288,0.001488,756.078412,108.011202,0.218444,0.830002,0.710205,0.000939,0.711687,0,0,0,0
ID,2016-08-22 to 2016-08-28,Group 8 - 6.2 - I74,1,7,30,8,6,52.666667,12.5,0.970253,0.473333,0.3,1.8,0.547468,26976,17613.85714,0.218784,0.156746,1709.336842,244.190977,0.831815,5.950328,980.794544,0.573787,2.181535,0.001056,0,0,0
ID,2016-08-22 to 2016-08-28,Group 8 - 6.2 - I74,2,7,169,112,7,33.698225,15,0.207463,0.250296,0.1,1.7,0.018437,73559,16281.57143,0.645413,0.56498,1632.493023,233.213289,0.859428,4.174026,1199.689847,0.734882,0.978565,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 1 - 1.3 - I80,1,7,0,0,0,0,0,0,0,0,0,0,0,21435.28571,0,0,378.754047,54.107721,0.151454,2.234405,0,0,0,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 1 - 1.3 - I80,2,7,0,0,0,0,0,0,0,0,0,0,0,23948.14286,0,0,121.794435,17.399205,0.043592,2.349316,0,0,0,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 1a,1,7,0,0,0,0,0,0,0,0,0,0,0,4509.428571,0,0,60.004105,8.572015,0.114056,0.852494,0,0,0,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 1a,2,7,4,2,3,5,5,0.2,0.2,0.15,0.4,0,97,4931.571429,0.00281,0.001984,50.314752,7.187822,0.087451,0.783271,1.244955,0.024743,0.770076,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 1q,1,7,0,0,0,0,0,0,0,0,0,0,0,16634.28571,0,0,0.069713,0.009959,0.000036,0.027227,0,0,0,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 1q,2,7,1,1,1,20,20,0.1,0.1,0.1,0.1,0,468,16024.85714,0.004172,0.001984,3.527211,0.503887,0.001887,0.830753,3.371303,0.955798,0.432218,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 1r,1,7,4,0,3,6.25,5,0.34,0.325,0.35,0.5,0,69,10452.71429,0.000943,0.00248,87.294493,12.470642,0.071584,1.120202,0.907164,0.010392,0.788838,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 1r,2,7,0,0,0,0,0,0,0,0,0,0,0,10946.42857,0,0,24.222037,3.460291,0.018967,0.277968,0,0,0,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 5 - 4.1 - I29,1,7,9,1,6,8.888889,5,0.4125,0.511111,0.3,1.6,0.0625,440,17127.71429,0.003665,0.007937,1676.403767,239.486252,0.83895,3.936891,18.01853,0.010748,2.460476,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 5 - 4.1 - I29,2,7,11,0,6,9.090909,5,0.31,0.345455,0.3,0.6,0,328,19824.71429,0.002358,0.009921,2342.725238,334.675034,1.012904,3.587001,14.582143,0.006224,2.673579,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 5 - 4.1 - I80,1,7,8,1,3,7.5,5,0.375,0.4375,0.45,0.8,0,444,22597,0.002802,0.005952,1832.959337,261.851334,0.695274,3.692413,13.648453,0.007446,1.847655,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 5 - 4.1 - I80,2,7,5,2,4,10,10,0.55,0.54,0.2,1.2,0.4,863,25917.42857,0.004756,0.00496,1679.689824,239.955689,0.555511,2.581118,28.299184,0.016848,1.968068,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 5b and 5.4,1,7,65,11,7,7.153846,5,0.778495,0.758462,0.7,2.3,0.322581,1724,11615.71429,0.021203,0.046131,1293.78223,184.826033,0.954709,4.968694,55.774721,0.04311,1.941116,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 5b and 5.4,2,7,15,4,6,8,5,0.925,0.833333,0.5,3.4,0.333333,746,10923.14286,0.009754,0.011905,1064.778737,152.111248,0.835539,4.404604,23.683049,0.022242,1.905228,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 5d,1,7,1,0,1,5,5,0.1,0.1,0.1,0.1,0,16,6484.571429,0.000335,0.000496,576.149385,82.307055,0.761579,1.966294,0.32918,0.000571,1.299395,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 5d,2,7,0,0,0,0,0,0,0,0,0,0,0,6513.428571,0,0,562.571856,80.367408,0.740327,2.443468,0,0,0,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 5f,1,7,5,1,3,6,5,0.183333,0.18,0.1,0.4,0,66,6241.285714,0.001505,0.002976,542.728924,77.532703,0.745366,1.714797,1.126781,0.002076,1.028241,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 5f,2,7,119,59,7,6.176471,5,0.295238,0.27395,0.2,1.6,0.047619,3102,6004.285714,0.073787,0.072917,541.6401,77.377157,0.773224,4.880708,55.600207,0.102652,1.075699,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 6 - 3.2 3a 3b - I29,1,7,125,80,7,8.48,5,0.217453,0.2264,0.2,1.4,0.009434,22084,28457.71429,0.110861,0.105159,2838.120302,405.445757,0.854842,4.031165,422.363895,0.148818,1.147532,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 6 - 3.2 3a 3b - I29,2,7,160,69,7,14.25,5,0.3375,0.30375,0.2,1.4,0.02193,23451,27009.42857,0.124034,0.22619,5167.242039,738.177434,1.639823,4.363608,787.593596,0.15242,2.015112,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 6 - 3.2 3a 3b - US20,1,7,1,0,1,5,5,0.2,0.2,0.2,0.2,0,5,21577.42857,0.000031,0.000496,258.264432,36.894919,0.102594,0.731154,0.0271,0.000105,0.348423,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 6 - 3.2 3a 3b - US20,2,7,19,0,4,9.736842,5,0.143243,0.152632,0.1,0.4,0,152,19440.57143,0.001117,0.018353,318.28962,45.469946,0.140335,0.906872,1.770549,0.005563,0.698901,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 6a,1,7,1,1,1,5,5,0.3,0.3,0.3,0.3,0,49,4591.857143,0.001517,0.000496,4.936775,0.705254,0.009215,0.670205,0.374054,0.075769,0.460374,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 6a,2,7,0,0,0,0,0,0,0,0,0,0,0,4769.285714,0,0,13.323887,1.903412,0.023946,1.067285,0,0,0,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 6c,1,7,1,0,1,5,5,0.1,0.1,0.1,0.1,0,3,14386.57143,0.000024,0.000496,228.420203,32.631458,0.136092,0.693041,0.027722,0.000121,0.693041,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 6c,2,7,0,0,0,0,0,0,0,0,0,0,0,16147.85714,0,0,233.369748,33.338535,0.123875,0.597027,0,0,0,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 6d,1,7,49,44,5,11.326531,5,0.695495,0.644898,0.6,2.1,0.243243,8505,13724.14286,0.088526,0.05506,431.50563,61.643661,0.269499,8.132632,209.904863,0.486448,1.480885,0.001491,0,0,0
ID,2016-08-29 to 2016-09-04,Group 6d,2,7,19,18,6,29.210526,5,0.855856,0.789474,0.7,2.2,0.225225,11121,14994.42857,0.105953,0.05506,945.541974,135.077425,0.540514,4.563712,277.772252,0.29377,1.498656,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 6e,1,7,0,0,0,0,0,0,0,0,0,0,0,16628.57143,0,0,4.39401,0.627716,0.002265,1.519209,0,0,0,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 6e,2,7,1,0,1,5,5,1.2,1.2,1.2,1.2,1,9,17697.28571,0.000068,0.000496,11.336822,1.619546,0.005491,1.908092,0.268042,0.023643,1.908092,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 6gh,1,7,0,0,0,0,0,0,0,0,0,0,0,29117.28571,0,0,675.303529,96.471933,0.198794,0.544406,0,0,0,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 6gh,2,7,0,0,0,0,0,0,0,0,0,0,0,28364.14286,0,0,707.603951,101.086279,0.213833,0.472314,0,0,0,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 8 - 6.2 - I74,1,7,4,2,4,11.25,5,0.533333,0.475,0.35,1.1,0.111111,677,17155.42857,0.005631,0.004464,882.034284,126.004898,0.440697,3.505368,15.330429,0.017381,1.360258,0,0,0,0
ID,2016-08-29 to 2016-09-04,Group 8 - 6.2 - I74,2,7,148,97,7,27.432432,10,0.192118,0.227703,0.1,1.4,0.025862,50425,14469.14286,0.497851,0.402778,1428.835159,204.119308,0.846435,5.190467,865.035701,0.605413,1.02931,0.003487,0,0,0
ID,2016-09-05 to 2016-09-11,Group 1 - 1.3 - I80,1,7,2,2,2,32.5,32.5,5.107692,3.15,3.15,6.2,0.923077,1514,22149.42857,0.009762,0.006448,593.296986,84.756712,0.229597,14.007583,229.081219,0.386116,9.081515,0.00827,0.005489,0.562273,0.562273
ID,2016-09-05 to 2016-09-11,Group 1 - 1.3 - I80,2,7,1,0,1,10,10,1.05,1.1,1.1,1.1,0.5,73,25314,0.000412,0.000992,125.672788,17.953255,0.042553,3.713339,3.414673,0.027171,2.80658,0,0,0,0
ID,2016-09-05 to 2016-09-11,Group 1a,1,7,1,0,1,5,5,0.3,0.3,0.3,0.3,0,2,4579.428571,0.000062,0.000496,65.807494,9.401071,0.123174,0.744414,0.019327,0.000294,0.579818,0,0,0,0
ID,2016-09-05 to 2016-09-11,Group 1a,2,7,9,4,4,6.666667,5,0.341667,0.333333,0.4,0.6,0,273,5250.142857,0.007422,0.005952,52.783839,7.540548,0.086177,0.991227,3.637101,0.068906,0.800096,0,0,0,0
ID,2016-09-05 to 2016-09-11,Group 1c,1,7,11,1,5,5.909091,5,0.261538,0.290909,0.2,0.8,0,333,15231.28571,0.003115,0.006448,51.81885,7.402693,0.029161,2.233248,4.597007,0.088713,0.830534,0,0,0,0
ID,2016-09-05 to 2016-09-11,Group 1c,2,7,4,2,2,7.5,5,0.816667,0.725,0.85,1.1,0.166667,285,17131.14286,0.002375,0.002976,159.090785,22.727255,0.0796,14.932871,44.558613,0.280083,9.387348,0.001494,0.001494,0.628862,0.628862
ID,2016-09-05 to 2016-09-11,Group 1q,1,7,0,0,0,0,0,0,0,0,0,0,0,15187.28571,0,0,0.043606,0.006229,0.000025,0.01696,0,0,0,0,0,0,0
ID,2016-09-05 to 2016-09-11,Group 1q,2,7,0,0,0,0,0,0,0,0,0,0,0,16451.14286,0,0,0.025168,0.003595,0.000013,0.028571,0,0,0,0,0,0,0
ID,2016-09-05 to 2016-09-11,Group 1r,1,7,2,0,2,5,5,0.4,0.4,0.4,0.5,0,4,9325,0.000061,0.000992,78.206694,11.172385,0.071887,0.7349,0.038371,0.000491,0.575572,0,0,0,0
ID,2016-09-05 to 2016-09-11,Group 1r,2,7,0,0,0,0,0,0,0,0,0,0,0,9340.571429,0,0,28.906616,4.129517,0.026527,0.576851,0,0,0,0,0,0,0
ID,2016-09-05 to 2016-09-11,Group 2a,1,7,1,1,1,5,5,0.3,0.3,0.3,0.3,0,43,8471.285714,0.000725,0.000496,12.964854,1.852122,0.013118,0.569945,0.337243,0.026012,0.470572,0,0,0,0
