ID,period,IWZ,Direction,1. number of days,2. number of events,3. number of daytime events,4. number of days when events happened,5. average duration of each event,6. median duration of each event,7. average queue length,8. average maximum queue length of each event,9. median maximum queue length of each event,10. max maximum queue length of each event,11.percentage of queue > 1 mile,12.amount of traffic that encounters a queue,13.total traffic per day,14.percentage of traffic that encounters a queue,15.percentage of time that encounters a queue,16.total delay,17.total delay per day,18.average delay per vehicle,19.maximum delay,20.total delay when queue is present,21.percentage of delay caused by queue,22.avg delay when queue is present,23.percent of vehicles experiencing delay > 5 min,24.percent of vehicles experiencing delay > 10 min,25.percent of vehicles in queue experiencing delay > 5 min,26.percent of vehicles in queue experiencing delay > 10 min
14,2016-04-11 to 2016-04-17,Group 6 - 3.2 3a 3b - US20,2,7,0,0,0,0,0,0,0,0,0,0,0,10821.28571,0,0,98.480499,14.068643,0.078005,0.685064,0,0,0,0,0,0,0
17,2016-04-11 to 2016-04-17,Group 6c,1,7,1,0,1,5,5,0.2,0.2,0.2,0.2,0,3,13509.42857,0.000032,0.000496,48.608676,6.944097,0.030841,0.516682,0.025834,0.000531,0.516682,0,0,0,0
18,2016-04-11 to 2016-04-17,Group 6c,2,7,1,1,1,70,70,0.242857,0.4,0.4,0.4,0,1055,14766.71429,0.010206,0.006944,194.242661,27.748952,0.11275,0.718291,7.899084,0.040666,0.449237,0,0,0,0
19,2016-04-11 to 2016-04-17,Group 6e,1,7,50,5,6,13,5,0.906154,0.64,0.5,3,0.307692,9194,24971.42857,0.052596,0.064484,465.800139,66.542877,0.159886,5.619076,324.667063,0.697009,2.118815,0.003084,0,0,0
20,2016-04-11 to 2016-04-17,Group 6e,2,7,1,1,1,5,5,0.1,0.1,0.1,0.1,0,212,26275,0.001149,0.000496,18.04907,2.578439,0.005888,0.750197,0.50915,0.028209,0.144586,0,0,0,0
21,2016-04-11 to 2016-04-17,Group 6gh,1,7,1,1,1,10,10,0.2,0.3,0.3,0.3,0,490,29569.42857,0.002365,0.000992,599.510415,85.644345,0.173783,0.61008,3.768173,0.006285,0.46188,0,0,0,0
22,2016-04-11 to 2016-04-17,Group 6gh,2,7,0,0,0,0,0,0,0,0,0,0,0,28818.71429,0,0,685.016434,97.859491,0.203742,0.536523,0,0,0,0,0,0,0
23,2016-04-11 to 2016-04-17,Group 8 - 6.2 - I74,1,7,196,64,7,34.285714,10,0.803125,0.296939,0.1,1.8,0.39881,119264,20405.14286,0.834974,0.666667,4205.437772,600.776825,1.766557,5.316044,3884.452482,0.923674,1.95422,0.000604,0,0,0
24,2016-04-11 to 2016-04-17,Group 8 - 6.2 - I74,2,7,130,59,7,69.038462,15,0.487577,0.318462,0.2,1.5,0.156546,104430,16040.14286,0.93008,0.890377,4319.676927,617.096704,2.308334,6.292524,4225.239894,0.978138,2.427607,0.060684,0,0,0
3,2016-04-18 to 2016-04-24,Group 5 - 4.1 - I29,1,7,8,5,4,7.5,5,0.283333,0.3375,0.3,0.8,0,817,17966.85714,0.006494,0.005952,2317.840374,331.120053,1.105773,3.149414,25.962153,0.011201,1.907282,0,0,0,0
4,2016-04-18 to 2016-04-24,Group 5 - 4.1 - I29,2,7,21,3,7,7.619048,5,0.7125,0.82381,0.4,2.7,0.25,575,15699.42857,0.00523,0.015873,2140.386253,305.769465,1.16859,8.671083,30.205344,0.014112,3.153397,0.000726,0,0,0
5,2016-04-18 to 2016-04-24,Group 5 - 4.1 - I80,1,7,13,4,5,5.769231,5,0.186667,0.2,0.2,0.4,0,567,22608.42857,0.00358,0.00744,1938.52306,276.931866,0.734946,2.573465,15.43199,0.007961,1.634168,0,0,0,0
6,2016-04-18 to 2016-04-24,Group 5 - 4.1 - I80,2,7,16,7,3,11.5625,5,0.82973,0.35625,0.2,1.6,0.513514,4400,26645.14286,0.02359,0.018353,2249.728739,321.38982,0.723712,4.142199,180.484296,0.080225,2.461243,0,0,0,0
7,2016-04-18 to 2016-04-24,Group 5b and 5.4,1,7,2,1,2,5,5,0.6,0.6,0.6,0.8,0,103,10347.42857,0.001413,0.000992,501.210213,71.601459,0.415188,1.45359,2.296028,0.004581,1.346205,0,0,0,0
8,2016-04-18 to 2016-04-24,Group 5b and 5.4,2,7,10,1,6,5.5,5,0.290909,0.31,0.25,0.6,0,126,9799.714286,0.001837,0.005456,458.630621,65.51866,0.40115,0.996411,1.728611,0.003769,0.823148,0,0,0,0
9,2016-04-18 to 2016-04-24,Group 5f,2,7,8,1,6,5.625,5,0.333333,0.3375,0.3,0.7,0,68,5810.428571,0.001672,0.004464,298.341233,42.620176,0.440112,1.487705,1.478567,0.004956,1.304618,0,0,0,0
10,2016-04-18 to 2016-04-24,Group 5f,1,7,53,41,5,7.924528,5,0.370238,0.345283,0.2,1.6,0.071429,2938,7643.285714,0.054904,0.041667,713.044419,101.863488,0.799642,2.685362,64.017447,0.08978,1.30759,0,0,0,0
11,2016-04-18 to 2016-04-24,Group 6 - 3.2 3a 3b - I29,1,7,154,79,7,22.337662,10,0.862936,0.794156,0.6,5.3,0.248547,33603,12741.57143,0.376751,0.34127,3137.120202,448.160029,2.110385,10.374233,1701.47631,0.542369,3.038099,0.037545,0.000837,0.002221,0.002221
12,2016-04-18 to 2016-04-24,Group 6 - 3.2 3a 3b - I29,2,7,245,136,7,13.571429,10,0.671729,0.671837,0.6,2.4,0.183459,26896,14561.57143,0.26386,0.329861,3978.963694,568.423385,2.342163,13.189313,1373.207712,0.345117,3.063446,0.014193,0.000362,0.001373,0.001373
13,2016-04-18 to 2016-04-24,Group 6 - 3.2 3a 3b - US20,1,7,0,0,0,0,0,0,0,0,0,0,0,10172,0,0,170.369232,24.338462,0.143563,0.627555,0,0,0,0,0,0,0
14,2016-04-18 to 2016-04-24,Group 6 - 3.2 3a 3b - US20,2,7,1,0,1,5,5,0.2,0.2,0.2,0.2,0,4,9779.714286,0.000049,0.000496,90.020057,12.860008,0.078899,0.878122,0.042327,0.00047,0.761882,0,0,0,0
17,2016-04-18 to 2016-04-24,Group 6c,1,7,5,0,3,10,5,0.16,0.16,0.1,0.3,0,85,13390.85714,0.000904,0.00496,64.962815,9.280402,0.041583,0.570329,0.535843,0.008248,0.379358,0,0,0,0
18,2016-04-18 to 2016-04-24,Group 6c,2,7,4,4,2,16.25,12.5,0.207692,0.25,0.25,0.3,0,1027,14920.57143,0.009833,0.006448,202.719461,28.959923,0.116457,0.554396,7.389975,0.036454,0.431741,0,0,0,0
19,2016-04-18 to 2016-04-24,Group 6e,1,7,21,11,5,15.47619,10,2.003077,1.971429,0.5,5.7,0.630769,2770,24987.71429,0.015835,0.032242,217.470073,31.067153,0.074598,13.036797,46.889404,0.215613,1.01576,0.000486,0.000198,0.012482,0.012482
20,2016-04-18 to 2016-04-24,Group 6e,2,7,0,0,0,0,0,0,0,0,0,0,0,25959.57143,0,0,23.305769,3.329396,0.007695,0.983254,0,0,0,0,0,0,0
21,2016-04-18 to 2016-04-24,Group 6gh,1,7,0,0,0,0,0,0,0,0,0,0,0,30068.42857,0,0,645.542706,92.220387,0.184022,0.548819,0,0,0,0,0,0,0
22,2016-04-18 to 2016-04-24,Group 6gh,2,7,0,0,0,0,0,0,0,0,0,0,0,29277.85714,0,0,685.131328,97.875904,0.200581,0.610564,0,0,0,0,0,0,0
23,2016-04-18 to 2016-04-24,Group 8 - 6.2 - I74,1,7,204,56,7,37.279412,10,0.721762,0.334804,0.2,2.3,0.343195,121541,20335.14286,0.853839,0.754464,4151.859969,593.122853,1.750047,5.168568,3871.66163,0.932513,1.911299,0.001111,0,0,0
24,2016-04-18 to 2016-04-24,Group 8 - 6.2 - I74,2,7,139,73,7,62.553957,15,0.488844,0.323022,0.2,1.7,0.13571,100286,16118,0.888858,0.862599,4427.897641,632.556806,2.354735,6.770537,4279.575204,0.966503,2.560428,0.06505,0,0,0
3,2016-04-25 to 2016-05-01,Group 5 - 4.1 - I29,1,7,13,3,3,14.615385,10,0.468421,0.546154,0.5,1.7,0.052632,831,17844.57143,0.006649,0.018849,2156.497684,308.071098,1.035849,4.495922,36.163465,0.01677,2.612652,0,0,0,0
4,2016-04-25 to 2016-05-01,Group 5 - 4.1 - I29,2,7,22,6,6,10,5,0.547727,0.536364,0.3,1.9,0.272727,2065,15281.28571,0.0193,0.021825,1972.008112,281.715445,1.106125,4.205683,105.186256,0.05334,3.057088,0,0,0,0
5,2016-04-25 to 2016-05-01,Group 5 - 4.1 - I80,1,7,6,4,3,11.666667,7.5,0.614286,0.716667,0.55,1.7,0.214286,1529,22250.57143,0.009815,0.006944,1987.822006,283.974572,0.765759,3.572479,57.279818,0.028815,2.248129,0,0,0,0
6,2016-04-25 to 2016-05-01,Group 5 - 4.1 - I80,2,7,12,2,5,5.416667,5,0.223077,0.208333,0.1,0.6,0,491,26724.14286,0.002622,0.006448,1977.734576,282.533511,0.634335,2.530609,11.781544,0.005957,1.441412,0,0,0,0
7,2016-04-25 to 2016-05-01,Group 5b and 5.4,1,7,8,4,3,14.375,7.5,0.486957,0.3875,0.25,0.8,0,1297,10637.14286,0.017419,0.011409,547.317642,78.188235,0.44103,2.341806,29.824332,0.054492,1.379692,0,0,0,0
