Device,Total Mesaages,Short Messages,SlowAtNight,StopAtNight,NumberOfClusters,Device2,WZ,AverageMinDay
225 - I-74 EB @ Lincoln Rd-SM,2362,29,176,29,314,I-74 EB @ Lincoln Rd-SM,6.2,195.8218182
226 - I-74 WB @ 13th Ave-SM,1069,15,103,114,118,I-74 WB @ 13th Ave-SM,6.2,458.6763636
232 - I-80 EB @ Ireland-SM,131,2,0,0,4,I-80 EB @ Ireland-SM,6e,4.083636364
233 - I-80 WB @ US 6-SM,114,2,0,0,3,I-80 WB @ US 6-SM,6e,4.214545455
237 - I-380 NB @ Forevergrn Rd-SM,93,5,0,0,2,I-380 NB @ Forevergrn Rd-SM,6e,3.746411483
248 - I-380 SB @ Wilson-OH,149,2,18,0,14,I-380 SB @ Wilson-OH,6gh,4.356363636
264 - US 77 NB @ MM 188 S Sioux SM,232,3,69,9,28,US 77 NB @ MM 188 S Sioux SM,3ab,10.52363636
265 - I-29 NB @ MM 146.6 BARB - SM,1582,11,258,19,94,I-29 NB @ MM 146.6 BARB - SM,3ab,15.54032258
355 - I-80 EB @ Spring St-OH,514,6,0,54,1,I-80 EB @ Spring St-OH,4.1,6.909090909
380 - US 20 WB @ Lakeport-SM,55,1,0,0,0,US 20 WB @ Lakeport-SM,3ab,0.359307359
420 - I-80 EB @ MM 139.9-OH,73,1,2,2,1,I-80 EB @ MM 139.9-OH,1.3,1.541818182
76 - US 30 WB @ Kirkwood-OH,211,2,45,0,38,US 30 WB @ Kirkwood-OH,6gh,22.93090909
88 - I-80 EB @ Jersey Rdg-OH,98,39,0,0,0,I-80 EB @ Jersey Rdg-OH,6d,2
897 - SS897 - I-35 SB @ MM 114.7,45,31,0,0,7,SS897 - I-35 SB @ MM 114.7,2a,5.065217391
96 - I-74 EB @ Duck Creek-OH,233,10,1,0,4,I-74 EB @ Duck Creek-OH,6.2,3.140271493
